Course,Theory Equivalent,Lab Equivalent, Theory Initial,Theory Day,"""Theory Time (1hr 20min)""", Theory Room, Lab Initial,Lab Day,Lab Time (3hr), Lab Room
CSE420-03,,,SZD,SAT+THU,11:00 AM,09D-17C,"SZD,SUE",TUE,8:00 AM,09B-11L
CSE420-04,,,SUE,SAT+THU,12:30 PM,09D-17C,"SZD,SUE",SUN,2:00 PM,12F-32L
CSE420-05,,,NWN,SUN+TUE,12:30 PM,09D-18C,"FMK,AKDR",SAT,2:00 PM,09E-22L
CSE420-06,,,SZD,SAT+THU,8:00 AM,09H-35C,"SZD,SUE",SUN,2:00 PM,12F-32L
CSE421-01,EEE465,EEE466,ARF,MON+WED,11:00 AM,10A-04C,"MSMA,SRJ",SUN,2:00 PM,12D-26L
CSE421-02,EEE465,EEE466,ARF,MON+WED,12:30 PM,10A-04C,"MSMA,SRJ",SUN,2:00 PM,12D-26L
CSE421-03,EEE465,EEE466,MSMA,SUN+TUE,8:00 AM,09A-05C,"BAS,RDS",SAT,2:00 PM,09E-21L
CSE421-04,EEE465,EEE466,MSMA,SUN+TUE,9:30 AM,09A-05C,"BAS,RDS",SAT,2:00 PM,09E-21L
CSE421-05,EEE465,EEE466,SRJ,SAT+THU,9:30 AM,07H-27C,"MSMA,BAS",MON,11:00 AM,10G-34L
CSE421-06,EEE465,EEE466,SRJ,SAT+THU,11:00 AM,07H-27C,"MSMA,BAS",MON,11:00 AM,10G-34L
CSE421-07,EEE465,EEE466,NDT,MON+WED,11:00 AM,10A-05C,"TSD,RFJ",TUE,2:00 PM,12D-27L
CSE421-08,EEE465,EEE466,MMP,MON+WED,12:30 PM,10A-05C,"TSD,RFJ",TUE,2:00 PM,12D-27L
CSE421-09,EEE465,EEE466,TSD,SAT+THU,12:30 PM,10A-04C,"RFJ,ABDK",TUE,11:00 AM,09B-10L
CSE421-10,EEE465,EEE466,TSD,SUN+TUE,9:30 AM,09A-02C,"BAS,NDT",THU,8:00 AM,09F-24L
CSE421-11,EEE465,EEE466,FDC,SUN+TUE,11:00 AM,07H-27C,"BAS,NDT",THU,8:00 AM,09F-24L
CSE421-12,EEE465,EEE466,FDC,MON+WED,11:00 AM,07H-27C,"RFJ,ABDK",TUE,11:00 AM,09B-10L
CSE421-13,EEE465,EEE466,SKZ,MON+WED,2:00 PM,09C-16T,"NSQ,NDT",SUN,11:00 AM,10G-32L
CSE421-14,EEE465,EEE466,SKZ,MON+WED,2:00 PM,09C-16T,"NSQ,NDT",SUN,11:00 AM,10G-32L
CSE421-15,EEE465,EEE466,SULT,SAT+THU,12:30 PM,08H-22C,"RFJ,ABDK",MON,8:00 AM,10G-34L
CSE421-16,EEE465,EEE466,SULT,SAT+THU,3:30 PM,08H-22C,"RFJ,ABDK",MON,8:00 AM,10G-34L
CSE421-17,EEE465,EEE466,NDT,MON+WED,8:00 AM,07D-20C ,"WLV,RDS",SAT,8:00 AM,12D-27L
CSE421-18,EEE465,EEE466,ABDK,SAT+THU,3:30 PM,09H-36C,"WLV,RDS",SAT,8:00 AM,12D-27L
CSE422-01,EEE472,,ZHS,SUN+TUE,8:00 AM,09D-18C,"RZR,FFU",THU,11:00 AM,09E-22L
CSE422-02,EEE472,,ZHS,SUN+TUE,9:30 AM,09D-18C,"NFF,NSQ",THU,2:00 PM,09E-22L
CSE422-03,EEE472,,ZHS,MON+WED,8:00 AM,10A-04C,"MCW,AHF",SUN,2:00 PM,12D-27L
CSE422-04,EEE472,,TRZ,SAT+THU,11:00 AM,09D-18C,"ZHS,RSS",MON,11:00 AM,09F-24L
CSE422-05,EEE472,,TRZ,SAT+THU,12:30 PM,09D-18C,"ZHS,NSQ",TUE,11:00 AM,09E-22L
CSE422-06,EEE472,,TRZ,SUN+TUE,2:00 PM,07F-22C,"FFU,HJB",SAT,11:00 AM,09F-26L
CSE422-07,EEE472,,SWK,MON+WED,9:30 AM,09A-01C,"PLN,HJB",SAT,8:00 AM,09F-26L
CSE422-08,EEE472,,SWK,MON+WED,11:00 AM,09A-01C,"RZR,LHK",THU,8:00 AM,09E-22L
CSE422-09,EEE472,,JMA,MON+WED,9:30 AM,07F-22C,"ZHS,HAS",SUN,11:00 AM,09F-26L
CSE422-10,EEE472,,JMA,MON+WED,11:00 AM,07F-22C,"RZR,MZW",TUE,8:00 AM,09E-22L
CSE422-11,EEE472,,SWG,SUN+TUE,2:00 PM,09D-18C,"RRH,LHK",SAT,2:00 PM,09F-26L
CSE422-12,EEE472,,SWG,SUN+TUE,3:30 PM,09D-18C,"RSS,RZR",WED,11:00 AM,12F-32L
CSE422-13,EEE472,,IBU,SAT+THU,3:30 PM,09C-13C,"AHF,SHAH",WED,2:00 PM,12F-32L
CSE422-14,EEE472,,IBU,SAT+THU,2:00 PM,09C-13C,"MZW,ZMD",MON,2:00 PM,09F-24L
CSE422-15,EEE472,,RRH,SAT+THU,8:00 AM,09A-03C,"DPU,PLN",WED,8:00 AM,12F-30L
CSE422-16,EEE472,,CMR,SAT+THU,2:00 PM,07D-19C,"MZW,HJB",TUE,2:00 PM,09B-11L
CSE422-17,EEE472,,CMR,SAT+THU,3:30 PM,07D-19C,"PRC,RTF",TUE,8:00 AM,09E-21L
CSE422-18,EEE472,,KKS,MON+WED,5:00 PM,07F-22C,"FFU,PRC",TUE,2:00 PM,09B-08L
CSE423-01,,,SRU,SAT+THU,11:00 AM,10A-06C,"ABU,AWK",SUN,8:00 AM,10G-32L
CSE423-02,,,SRU,SAT+THU,12:30 PM,10A-06C,"SRU,NTB",WED,2:00 PM,12D-27L
CSE423-03,,,SRU,SAT+THU,3:30 PM,10A-06C,"AJA,AWK",TUE,8:00 AM,09B-09L
CSE423-04,,,AJA,SUN+TUE,2:00 PM,09H-36C,"NMP,ABU",SAT,8:00 AM,10G-34L
CSE423-05,,,AJA,SUN+TUE,3:30 PM,09H-36C,"NMP,ABU",SAT,8:00 AM,10G-34L
CSE423-06,,,TMD,MON+WED,11:00 AM,07H-26C,"MZFZ,NMP",THU,2:00 PM,09F-27L
CSE423-07,,,TMD,MON+WED,12:30 PM,07H-26C,"MZFZ,NMP",THU,2:00 PM,09F-27L
CSE423-08,,,ABU,SAT+THU,12:30 PM,10A-10C,"SRU,NTB",WED,2:00 PM,12D-27L
