Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 4750.74it/s]
[vector_only] BQ076: 7.35s gen, 0.023s retrieval
[vector_only] BQ077: 8.84s gen, 0.023s retrieval
[vector_only] BQ078: 5.95s gen, 0.024s retrieval
[vector_only] BQ079: 6.18s gen, 0.024s retrieval
[vector_only] BQ080: 7.77s gen, 0.023s retrieval
[vector_only] BQ081: 6.07s gen, 0.025s retrieval
[vector_only] BQ082: 8.89s gen, 0.023s retrieval
[vector_only] BQ083: 3.56s gen, 0.019s retrieval
[vector_only] BQ084: 5.60s gen, 0.018s retrieval
[vector_only] BQ085: 7.60s gen, 0.028s retrieval
[vector_only] BQ086: 4.06s gen, 0.021s retrieval
[vector_only] BQ087: 7.94s gen, 0.036s retrieval
[vector_only] BQ088: 9.34s gen, 0.024s retrieval
[vector_only] BQ089: 13.68s gen, 0.022s retrieval
[vector_only] BQ090: 10.09s gen, 0.025s retrieval
[vector_only] BQ091: 10.14s gen, 0.018s retrieval
[vector_only] BQ092: 5.91s gen, 0.027s retrieval
[vector_only] BQ093: 11.17s gen, 0.018s retrieval
[vector_only] BQ094: 6.20s gen, 0.022s retrieval
[vector_only] BQ095: 5.80s gen, 0.020s retrieval
[vector_only] BQ096: 7.29s gen, 0.019s retrieval
[vector_only] BQ097: 6.66s gen, 0.030s retrieval
[vector_only] BQ098: 10.83s gen, 0.033s retrieval
[vector_only] BQ099: 6.08s gen, 0.025s retrieval
[vector_only] BQ100: 6.96s gen, 0.026s retrieval
[no_retrieval] BQ001: 8.02s gen, 0.000s retrieval
[no_retrieval] BQ002: 5.68s gen, 0.000s retrieval
[no_retrieval] BQ003: 5.12s gen, 0.000s retrieval
[no_retrieval] BQ004: 9.01s gen, 0.000s retrieval
[no_retrieval] BQ005: 12.98s gen, 0.000s retrieval
[no_retrieval] BQ006: 8.74s gen, 0.000s retrieval
[no_retrieval] BQ007: 4.87s gen, 0.000s retrieval
[no_retrieval] BQ008: 8.99s gen, 0.000s retrieval
[no_retrieval] BQ009: 13.69s gen, 0.000s retrieval
[no_retrieval] BQ010: 12.04s gen, 0.000s retrieval
[no_retrieval] BQ011: 13.61s gen, 0.000s retrieval
[no_retrieval] BQ012: 14.42s gen, 0.000s retrieval
[no_retrieval] BQ013: 9.29s gen, 0.000s retrieval
[no_retrieval] BQ014: 15.70s gen, 0.000s retrieval
[no_retrieval] BQ015: 12.81s gen, 0.000s retrieval
[no_retrieval] BQ016: 9.62s gen, 0.000s retrieval
[no_retrieval] BQ017: 9.97s gen, 0.000s retrieval
[no_retrieval] BQ018: 4.11s gen, 0.000s retrieval
[no_retrieval] BQ019: 11.79s gen, 0.000s retrieval
[no_retrieval] BQ020: 18.58s gen, 0.000s retrieval
[no_retrieval] BQ021: 15.66s gen, 0.000s retrieval
[no_retrieval] BQ022: 8.39s gen, 0.000s retrieval
[no_retrieval] BQ023: 12.34s gen, 0.000s retrieval
[no_retrieval] BQ024: 7.28s gen, 0.000s retrieval
[no_retrieval] BQ025: 13.95s gen, 0.000s retrieval
[no_retrieval] BQ026: 14.30s gen, 0.000s retrieval
[no_retrieval] BQ027: 11.75s gen, 0.000s retrieval
[no_retrieval] BQ028: 10.45s gen, 0.000s retrieval
[no_retrieval] BQ029: 18.42s gen, 0.000s retrieval
[no_retrieval] BQ030: 13.69s gen, 0.000s retrieval
[no_retrieval] BQ031: 12.17s gen, 0.000s retrieval
[no_retrieval] BQ032: 9.52s gen, 0.000s retrieval
[no_retrieval] BQ033: 7.26s gen, 0.000s retrieval
[no_retrieval] BQ034: 9.20s gen, 0.000s retrieval
[no_retrieval] BQ035: 5.63s gen, 0.000s retrieval
[no_retrieval] BQ036: 6.97s gen, 0.000s retrieval
[no_retrieval] BQ037: 8.65s gen, 0.000s retrieval
[no_retrieval] BQ038: 9.54s gen, 0.000s retrieval
[no_retrieval] BQ039: 22.33s gen, 0.000s retrieval
[no_retrieval] BQ040: 9.56s gen, 0.000s retrieval
[no_retrieval] BQ041: 15.20s gen, 0.000s retrieval
[no_retrieval] BQ042: 14.04s gen, 0.000s retrieval
[no_retrieval] BQ043: 5.24s gen, 0.000s retrieval
[no_retrieval] BQ044: 9.55s gen, 0.000s retrieval
[no_retrieval] BQ045: 12.20s gen, 0.000s retrieval
[no_retrieval] BQ046: 11.75s gen, 0.000s retrieval
[no_retrieval] BQ047: 13.80s gen, 0.000s retrieval
[no_retrieval] BQ048: 7.23s gen, 0.000s retrieval
[no_retrieval] BQ049: 9.62s gen, 0.000s retrieval
[no_retrieval] BQ050: 7.81s gen, 0.000s retrieval
[no_retrieval] BQ051: 11.54s gen, 0.000s retrieval
[no_retrieval] BQ052: 13.73s gen, 0.000s retrieval
[no_retrieval] BQ053: 8.50s gen, 0.000s retrieval
[no_retrieval] BQ054: 10.35s gen, 0.000s retrieval
[no_retrieval] BQ055: 5.41s gen, 0.000s retrieval
[no_retrieval] BQ056: 10.40s gen, 0.000s retrieval
[no_retrieval] BQ057: 13.22s gen, 0.000s retrieval
[no_retrieval] BQ058: 9.99s gen, 0.000s retrieval
[no_retrieval] BQ059: 23.68s gen, 0.000s retrieval
[no_retrieval] BQ060: 5.51s gen, 0.000s retrieval
[no_retrieval] BQ061: 7.72s gen, 0.000s retrieval
[no_retrieval] BQ062: 12.22s gen, 0.000s retrieval
[no_retrieval] BQ063: 14.83s gen, 0.000s retrieval
[no_retrieval] BQ064: 19.17s gen, 0.000s retrieval
[no_retrieval] BQ065: 12.84s gen, 0.000s retrieval
[no_retrieval] BQ066: 19.93s gen, 0.000s retrieval
[no_retrieval] BQ067: 11.64s gen, 0.000s retrieval
[no_retrieval] BQ068: 9.41s gen, 0.000s retrieval
[no_retrieval] BQ069: 6.70s gen, 0.000s retrieval
[no_retrieval] BQ070: 15.58s gen, 0.000s retrieval
[no_retrieval] BQ071: 11.51s gen, 0.000s retrieval
[no_retrieval] BQ072: 7.44s gen, 0.000s retrieval
[no_retrieval] BQ073: 15.38s gen, 0.000s retrieval
[no_retrieval] BQ074: 9.01s gen, 0.000s retrieval
[no_retrieval] BQ075: 8.29s gen, 0.000s retrieval
[no_retrieval] BQ076: 8.74s gen, 0.000s retrieval
[no_retrieval] BQ077: 14.17s gen, 0.000s retrieval
[no_retrieval] BQ078: 11.17s gen, 0.000s retrieval
[no_retrieval] BQ079: 8.74s gen, 0.000s retrieval
[no_retrieval] BQ080: 15.36s gen, 0.000s retrieval
[no_retrieval] BQ081: 9.40s gen, 0.000s retrieval
[no_retrieval] BQ082: 23.46s gen, 0.000s retrieval
[no_retrieval] BQ083: 9.46s gen, 0.000s retrieval
[no_retrieval] BQ084: 10.25s gen, 0.000s retrieval
[no_retrieval] BQ085: 6.77s gen, 0.000s retrieval
[no_retrieval] BQ086: 12.36s gen, 0.000s retrieval
[no_retrieval] BQ087: 10.26s gen, 0.000s retrieval
[no_retrieval] BQ088: 12.14s gen, 0.000s retrieval
[no_retrieval] BQ089: 12.94s gen, 0.000s retrieval
[no_retrieval] BQ090: 16.59s gen, 0.000s retrieval
[no_retrieval] BQ091: 14.49s gen, 0.000s retrieval
[no_retrieval] BQ092: 7.32s gen, 0.000s retrieval
[no_retrieval] BQ093: 9.70s gen, 0.000s retrieval
[no_retrieval] BQ094: 11.62s gen, 0.000s retrieval
[no_retrieval] BQ095: 9.07s gen, 0.000s retrieval
[no_retrieval] BQ096: 8.43s gen, 0.000s retrieval
[no_retrieval] BQ097: 10.94s gen, 0.000s retrieval
[no_retrieval] BQ098: 25.74s gen, 0.000s retrieval
[no_retrieval] BQ099: 9.88s gen, 0.000s retrieval
[no_retrieval] BQ100: 9.97s gen, 0.000s retrieval
Wrote metadata to results\ablation_raw_outputs_roundO_banglish_metadata.json
Wrote 400 rows to results\ablation_raw_outputs_roundO_banglish.csv
