route,signal,threshold,tp,fp,fn,tn,precision,recall,f1,accuracy
open_ended,query_confidence,0.1225,99,105,86,82,0.4852941176470588,0.5351351351351351,0.5089974293059126,0.48655913978494625
open_ended,query_confidence,0.1237,99,106,86,81,0.48292682926829267,0.5351351351351351,0.5076923076923077,0.4838709677419355
open_ended,query_confidence,0.124,101,106,84,81,0.48792270531400966,0.5459459459459459,0.5153061224489796,0.489247311827957
open_ended,query_confidence,0.1253,101,107,84,80,0.4855769230769231,0.5459459459459459,0.5139949109414758,0.48655913978494625
open_ended,query_confidence,0.1264,101,107,84,80,0.4855769230769231,0.5459459459459459,0.5139949109414758,0.48655913978494625
open_ended,query_confidence,0.1271,102,107,83,80,0.4880382775119617,0.5513513513513514,0.5177664974619289,0.489247311827957
open_ended,query_confidence,0.1275,102,108,83,79,0.4857142857142857,0.5513513513513514,0.5164556962025317,0.48655913978494625
open_ended,query_confidence,0.1284,103,109,82,78,0.4858490566037736,0.5567567567567567,0.5188916876574308,0.48655913978494625
open_ended,query_confidence,0.1292,104,109,81,78,0.48826291079812206,0.5621621621621622,0.5226130653266332,0.489247311827957
open_ended,query_confidence,0.1308,104,110,81,77,0.48598130841121495,0.5621621621621622,0.5213032581453634,0.48655913978494625
open_ended,query_confidence,0.132,104,110,81,77,0.48598130841121495,0.5621621621621622,0.5213032581453634,0.48655913978494625
