.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[no_retrieval] Q090: 12.58s gen, 0.000s retrieval
[no_retrieval] Q091: 11.83s gen, 0.000s retrieval
[no_retrieval] Q092: 9.93s gen, 0.000s retrieval
[no_retrieval] Q093: 16.28s gen, 0.000s retrieval
[no_retrieval] Q094: 6.39s gen, 0.000s retrieval
[no_retrieval] Q095: 13.82s gen, 0.000s retrieval
[no_retrieval] Q096: 9.28s gen, 0.000s retrieval
[no_retrieval] Q097: 14.85s gen, 0.000s retrieval
[no_retrieval] Q098: 11.86s gen, 0.000s retrieval
[no_retrieval] Q099: 13.25s gen, 0.000s retrieval
[no_retrieval] Q100: 9.26s gen, 0.000s retrieval
[no_retrieval] Q101: 7.70s gen, 0.000s retrieval
[no_retrieval] Q102: 6.17s gen, 0.000s retrieval
[no_retrieval] Q103: 8.26s gen, 0.000s retrieval
[no_retrieval] Q104: 7.36s gen, 0.000s retrieval
[no_retrieval] Q105: 9.25s gen, 0.000s retrieval
[no_retrieval] Q106: 6.98s gen, 0.000s retrieval
[no_retrieval] Q107: 19.18s gen, 0.000s retrieval
[no_retrieval] Q108: 7.61s gen, 0.000s retrieval
[no_retrieval] Q109: 12.43s gen, 0.000s retrieval
[no_retrieval] Q110: 13.79s gen, 0.000s retrieval
[no_retrieval] Q111: 9.40s gen, 0.000s retrieval
[no_retrieval] Q112: 6.18s gen, 0.000s retrieval
[no_retrieval] Q113: 8.68s gen, 0.000s retrieval
[no_retrieval] Q114: 9.20s gen, 0.000s retrieval
[no_retrieval] Q115: 7.08s gen, 0.000s retrieval
[no_retrieval] Q116: 6.11s gen, 0.000s retrieval
[no_retrieval] Q117: 7.91s gen, 0.000s retrieval
[no_retrieval] Q118: 8.26s gen, 0.000s retrieval
[no_retrieval] Q119: 7.58s gen, 0.000s retrieval
[no_retrieval] Q120: 16.35s gen, 0.000s retrieval
[no_retrieval] Q121: 18.00s gen, 0.000s retrieval
[no_retrieval] Q122: 12.44s gen, 0.000s retrieval
[no_retrieval] Q123: 7.42s gen, 0.000s retrieval
[no_retrieval] Q124: 11.71s gen, 0.000s retrieval
[no_retrieval] Q125: 7.98s gen, 0.000s retrieval
[no_retrieval] Q126: 8.45s gen, 0.000s retrieval
[no_retrieval] Q127: 15.44s gen, 0.000s retrieval
[no_retrieval] Q128: 6.76s gen, 0.000s retrieval
[no_retrieval] Q129: 19.11s gen, 0.000s retrieval
[no_retrieval] Q130: 15.20s gen, 0.000s retrieval
[no_retrieval] Q131: 8.81s gen, 0.000s retrieval
[no_retrieval] Q132: 7.92s gen, 0.000s retrieval
[no_retrieval] Q133: 10.56s gen, 0.000s retrieval
[no_retrieval] Q134: 8.22s gen, 0.000s retrieval
[no_retrieval] Q135: 6.44s gen, 0.000s retrieval
[no_retrieval] Q136: 7.04s gen, 0.000s retrieval
[no_retrieval] Q137: 7.95s gen, 0.000s retrieval
[no_retrieval] Q138: 9.00s gen, 0.000s retrieval
[no_retrieval] Q139: 8.80s gen, 0.000s retrieval
[no_retrieval] Q140: 7.06s gen, 0.000s retrieval
[no_retrieval] Q141: 11.28s gen, 0.000s retrieval
[no_retrieval] Q142: 9.68s gen, 0.000s retrieval
[no_retrieval] Q143: 10.87s gen, 0.000s retrieval
[no_retrieval] Q144: 9.54s gen, 0.000s retrieval
[no_retrieval] Q145: 6.27s gen, 0.000s retrieval
[no_retrieval] Q146: 8.10s gen, 0.000s retrieval
[no_retrieval] Q147: 9.67s gen, 0.000s retrieval
[no_retrieval] Q148: 6.10s gen, 0.000s retrieval
[no_retrieval] Q149: 5.47s gen, 0.000s retrieval
[no_retrieval] Q150: 9.70s gen, 0.000s retrieval
[no_retrieval] Q151: 6.75s gen, 0.000s retrieval
[no_retrieval] Q152: 6.40s gen, 0.000s retrieval
[no_retrieval] Q153: 6.32s gen, 0.000s retrieval
[no_retrieval] Q154: 6.19s gen, 0.000s retrieval
[no_retrieval] Q155: 6.17s gen, 0.000s retrieval
[no_retrieval] Q156: 6.24s gen, 0.000s retrieval
[no_retrieval] Q157: 6.14s gen, 0.000s retrieval
[no_retrieval] Q158: 6.76s gen, 0.000s retrieval
[no_retrieval] Q159: 6.43s gen, 0.000s retrieval
[no_retrieval] Q160: 6.34s gen, 0.000s retrieval
[no_retrieval] Q161: 6.99s gen, 0.000s retrieval
[no_retrieval] Q162: 6.49s gen, 0.000s retrieval
[no_retrieval] Q163: 6.20s gen, 0.000s retrieval
[no_retrieval] Q164: 6.29s gen, 0.000s retrieval
[no_retrieval] Q165: 6.44s gen, 0.000s retrieval
[no_retrieval] Q166: 6.74s gen, 0.000s retrieval
[no_retrieval] Q167: 10.85s gen, 0.000s retrieval
[no_retrieval] Q168: 7.22s gen, 0.000s retrieval
[no_retrieval] Q169: 7.11s gen, 0.000s retrieval
[no_retrieval] Q170: 7.29s gen, 0.000s retrieval
[no_retrieval] Q171: 9.37s gen, 0.000s retrieval
[no_retrieval] Q172: 6.65s gen, 0.000s retrieval
[no_retrieval] Q173: 6.92s gen, 0.000s retrieval
[no_retrieval] Q174: 7.10s gen, 0.000s retrieval
[no_retrieval] Q175: 8.60s gen, 0.000s retrieval
[no_retrieval] Q176: 6.93s gen, 0.000s retrieval
[no_retrieval] Q177: 7.09s gen, 0.000s retrieval
[no_retrieval] Q178: 7.05s gen, 0.000s retrieval
[no_retrieval] Q179: 6.81s gen, 0.000s retrieval
[no_retrieval] Q180: 8.57s gen, 0.000s retrieval
[no_retrieval] Q181: 6.66s gen, 0.000s retrieval
[no_retrieval] Q182: 12.79s gen, 0.000s retrieval
[no_retrieval] Q183: 8.58s gen, 0.000s retrieval
[no_retrieval] Q184: 6.68s gen, 0.000s retrieval
[no_retrieval] Q185: 8.53s gen, 0.000s retrieval
[no_retrieval] Q186: 7.40s gen, 0.000s retrieval
[no_retrieval] Q187: 11.51s gen, 0.000s retrieval
[no_retrieval] Q188: 10.61s gen, 0.000s retrieval
[no_retrieval] Q189: 10.28s gen, 0.000s retrieval
[no_retrieval] Q190: 14.61s gen, 0.000s retrieval
[no_retrieval] Q191: 8.44s gen, 0.000s retrieval
[no_retrieval] Q192: 5.59s gen, 0.000s retrieval
[no_retrieval] Q193: 8.56s gen, 0.000s retrieval
[no_retrieval] Q194: 6.55s gen, 0.000s retrieval
[no_retrieval] Q195: 7.69s gen, 0.000s retrieval
[no_retrieval] Q196: 7.53s gen, 0.000s retrieval
[no_retrieval] Q197: 5.55s gen, 0.000s retrieval
[no_retrieval] Q198: 7.41s gen, 0.000s retrieval
[no_retrieval] Q199: 6.98s gen, 0.000s retrieval
[no_retrieval] Q200: 9.82s gen, 0.000s retrieval
Wrote metadata to results\ablation_raw_outputs_roundK_metadata.json
Wrote 400 rows to results\ablation_raw_outputs_roundK.csv
