query_id,config,bleu,rougeL,bertscore,meteor
Q156,lambda_0.3,0.3500482776497398,0.6666666666666666,0.9252675175666808,0.6496644295302012
Q158,lambda_0.3,0.3500482776497398,0.6666666666666666,0.9252155423164368,0.6496644295302012
Q159,lambda_0.3,0.3500482776497398,0.6666666666666666,0.9347200989723206,0.6496644295302012
Q160,lambda_0.3,0.3500482776497398,0.6666666666666666,0.92567241191864,0.6496644295302012
Q162,lambda_0.3,0.3500482776497398,0.6666666666666666,0.9280362129211426,0.6496644295302012
Q163,lambda_0.3,0.3500482776497398,0.6666666666666666,0.930063545703888,0.6496644295302012
Q165,lambda_0.3,0.3500482776497398,0.6666666666666666,0.9347130656242372,0.6496644295302012
Q167,lambda_0.3,0.0571911436249112,0.5714285714285713,0.9360913634300232,0.4331450094161957
Q168,lambda_0.3,0.0571911436249112,0.5714285714285713,0.945307731628418,0.4331450094161957
Q169,lambda_0.3,0.0657791554486807,0.6666666666666666,0.9368847012519836,0.537876167416119
Q170,lambda_0.3,0.0657791554486807,0.6666666666666666,0.94690203666687,0.537876167416119
Q172,lambda_0.3,0.0648411507139764,0.6086956521739131,0.943705141544342,0.4770408163265306
Q173,lambda_0.3,0.0657791554486807,0.6666666666666666,0.9369207620620728,0.537876167416119
Q174,lambda_0.3,0.0657791554486807,0.6666666666666666,0.9414312839508056,0.537876167416119
Q175,lambda_0.3,0.0657791554486807,0.6666666666666666,0.943262815475464,0.537876167416119
Q179,lambda_0.3,0.0571911436249112,0.5714285714285713,0.9246914982795716,0.4331450094161957
Q180,lambda_0.3,0.0571911436249112,0.5714285714285713,0.93965744972229,0.4331450094161957
Q181,lambda_0.3,1.0,1.0,0.9952480792999268,0.998542274052478
Q184,lambda_0.3,1.0,1.0,0.9999998807907104,0.9995
Q185,lambda_0.3,1.0,1.0,1.0,0.9993141289437586
Q187,lambda_0.3,0.2831941551089239,0.6153846153846153,0.8744267225265503,0.4989690721649485
Q188,lambda_0.3,0.3814165616365676,0.75,0.9712995886802672,0.8333333333333333
Q190,lambda_0.3,1.0,1.0,0.9999999403953552,0.9996243425995492
Q191,lambda_0.3,0.1210051827654028,0.6153846153846153,0.8966859579086304,0.4597938144329897
Q193,lambda_0.3,1.0,1.0,1.0,0.999710648148148
Q194,lambda_0.3,0.0527120271268863,0.5,0.8841742277145386,0.3287760416666666
Q195,lambda_0.3,0.1093265113929093,0.6666666666666666,0.9703547954559326,0.7301587301587302
Q196,lambda_0.3,1.0,1.0,1.0000001192092896,0.9993141289437586
Q197,lambda_0.3,0.1048967186945593,0.5714285714285715,0.8979995846748352,0.4207547169811321
Q198,lambda_0.3,0.3814165616365676,0.75,0.9780449271202089,0.8333333333333333
Q199,lambda_0.3,1.0,1.0,0.9999999403953552,0.9995
Q200,lambda_0.3,1.0,1.0,0.9969449043273926,0.9995
Q002,full_hybrid,0.4018215766366551,0.5833333333333334,0.937483251094818,0.8822222222222224
