Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 5007.92it/s]
[vector_only] Q044: 4.00s gen, 0.022s retrieval
[vector_only] Q045: 7.60s gen, 0.017s retrieval
[vector_only] Q046: 5.49s gen, 0.018s retrieval
[vector_only] Q047: 13.93s gen, 0.023s retrieval
[vector_only] Q048: 20.26s gen, 0.027s retrieval
[vector_only] Q049: 5.95s gen, 0.025s retrieval
[vector_only] Q050: 6.50s gen, 0.032s retrieval
[vector_only] Q051: 8.38s gen, 0.024s retrieval
[vector_only] Q052: 5.22s gen, 0.031s retrieval
[vector_only] Q053: 3.78s gen, 0.025s retrieval
[vector_only] Q054: 5.85s gen, 0.023s retrieval
[vector_only] Q055: 4.80s gen, 0.025s retrieval
[vector_only] Q056: 5.93s gen, 0.020s retrieval
[vector_only] Q057: 4.60s gen, 0.026s retrieval
[vector_only] Q058: 4.41s gen, 0.032s retrieval
[vector_only] Q059: 18.39s gen, 0.032s retrieval
[vector_only] Q060: 14.73s gen, 0.032s retrieval
[vector_only] Q061: 6.70s gen, 0.016s retrieval
[vector_only] Q062: 8.74s gen, 0.026s retrieval
[vector_only] Q063: 6.81s gen, 0.027s retrieval
[vector_only] Q064: 7.26s gen, 0.021s retrieval
[vector_only] Q065: 3.97s gen, 0.020s retrieval
[vector_only] Q066: 8.27s gen, 0.022s retrieval
